no,sample,tissue,plant,stage,BR,A,B,C,D,E,F,G,H,I,J,pulp_wt_mg,pulp_wt_g,insert_wt,insert_extract,extract_wt_g,extract_wt_mg,A_corr,B_corr,C_corr,D_corr,E_corr,F_corr,G_corr,H_corr,I_corr,J_corr,A_pdw,B_pdw,C_pdw,D_pdw,E_pdw,F_pdw,G_pdw,H_pdw,I_pdw,J_pdw
39,P.16.5,P,16,5,120415,1948,1036,2845,2845,18950,14345,7346,9297,5989,7301,9.96,0.00996,0.5868,0.58757,0.00077,0.77,0.014829325,0.007886643,0.021657818,0.021657818,0.144258577,0.109202601,0.055922085,0.070774247,0.0455918,0.055579518,0.023461266,0.012477347,0.034264529,0.033789575,0.228229463,0.172767897,0.088473543,0.11197094,0.072130145,0.087931573
40,P.17.1,P,17,1,62892,4818,367,24071,24071,3330,46157,3330,25133,9370,7802,10.1,0.0101,0.58891,0.58932,0.00041,0.41,0.070223813,0.005349136,0.350842135,0.350842135,0.048535761,0.672752293,0.048535761,0.366321108,0.136570596,0.113716519,0.109560105,0.008345487,0.547368468,0.547368468,0.07572336,1.049598536,0.07572336,0.57151808,0.213071436,0.177415512
41,P.17.2,P,17,2,135657,6245,399,23606,23606,52975,45026,10472,6302,9969,10285,9.96,0.00996,0.58942,0.59009,0.00067,0.67,0.042199106,0.002696148,0.159511946,0.159511946,0.357965997,0.304252515,0.070762056,0.04258427,0.067363153,0.069498448,0.066762612,0.004265538,0.252361603,0.248863522,0.566332963,0.48135362,0.111951653,0.067371974,0.106574296,0.109952516
42,P.17.3,P,17,3,248866,6816,2728,21267,21267,53869,40285,3394,6952,39901,11108,10.07,0.01007,0.58757,0.58814,0.00057,0.57,0.025105972,0.010048282,0.078334609,0.078334609,0.19842042,0.148385279,0.012501418,0.025606912,0.146970858,0.040915072,0.039285923,0.015723591,0.122578306,0.122214212,0.310489057,0.232193871,0.019562269,0.040069797,0.22998058,0.064024067
43,P.17.4,P,17,4,150265,3721,333,12485,12485,24272,21952,3623,3623,6607,110,10.09,0.01009,0.59224,0.5929,0.00066,0.66,0.022699425,0.002031419,0.076162945,0.076162945,0.148067842,0.133915016,0.02210159,0.02210159,0.040305052,0.000671039,0.035449743,0.003172471,0.118943843,0.118826077,0.231237882,0.209135382,0.034516103,0.034516103,0.062944491,0.001047963
44,P.17.5,P,17,5,158941,4787,585,12333,12333,60405,50739,15910,17264,11638,10878,9.92,0.00992,0.58406,0.58467,0.00061,0.61,0.027608353,0.003373906,0.071128854,0.071128854,0.348377394,0.29263009,0.091758701,0.099567707,0.067120538,0.062737344,0.043854911,0.005359332,0.112985716,0.110972109,0.553385401,0.464832743,0.145755512,0.158159847,0.106618646,0.099656095
45,P.17.6,P,17,6,177113,806,453,1635,11765,12267,9181,2420,7661,6332,4580,9.98,0.00998,0.58362,0.58456,0.00094,0.94,0.004171552,0.002344557,0.008462143,0.060891197,0.063489359,0.047517389,0.012525006,0.039650443,0.032772041,0.02370435,0.006586527,0.003701857,0.013361007,0.094999767,0.100244328,0.075025937,0.019775925,0.062604695,0.05174428,0.037427164
46,P.18.1,P,18,1,144304,11195,625,11993,11993,49757,44221,3585,3585,11491,9861,10.07,0.01007,0.58872,0.58919,0.00047,0.47,0.071114596,0.003970221,0.076183774,0.076183774,0.316074046,0.280907418,0.022773187,0.022773187,0.072994893,0.062640557,0.1112804,0.006212617,0.11921267,0.118858573,0.494593916,0.439565037,0.035635573,0.035635573,0.114222696,0.09802019
47,P.18.2,P,18,2,161800,35760,30034,2505,33024,146370,136112,4882,3893,26001,28782,10.09,0.01009,0.58947,0.59039,0.00092,0.92,0.202596534,0.170156161,0.014191955,0.18709586,0.829252088,0.77113589,0.027658733,0.022055601,0.147307396,0.163063016,0.316395464,0.26573326,0.022163608,0.291898731,1.295044857,1.204284659,0.043194705,0.034444282,0.230050293,0.254655879
48,P.18.3,P,18,3,96116,15756,13198,15944,15944,70230,64414,12926,8179,14261,16412,9.98,0.00998,0.58279,0.58353,0.00074,0.74,0.150266891,0.125870934,0.15205987,0.15205987,0.669792065,0.614324164,0.123276837,0.078004119,0.136008894,0.156523243,0.23725871,0.198739556,0.240089672,0.237237121,1.05754501,0.969965888,0.194643696,0.123161906,0.214746538,0.24713696
49,P.18.4,P,18,4,191612,3554,244,4747,4747,19277,17121,4351,4452,6397,6433,10.04,0.01004,0.59218,0.59303,0.00085,0.85,0.017002302,0.001167294,0.022709603,0.022709603,0.092220986,0.081906702,0.020815143,0.021298326,0.030603188,0.030775411,0.026684768,0.001832044,0.03564226,0.035430524,0.144738962,0.128550903,0.032668943,0.033427289,0.04803108,0.048301382
50,P.19.1,P,19,1,162215,129891,13788,20693,64565,8566,6129,5658,4565,7088,7299,10.07,0.01007,0.58349,0.58406,0.00057,0.57,0.734008464,0.077915396,0.116935255,0.364854043,0.048406098,0.034634716,0.031973115,0.025796619,0.040053984,0.041246336,1.148579342,0.121922319,0.182980748,0.56922923,0.075746054,0.05419654,0.050031657,0.040366651,0.062676632,0.064542429
51,P.19.2,P,19,2,191026,377172,78068,142317,143343,18786,19583,11057,323,14156,15733,9.98,0.00998,0.58536,0.5863,0.00094,0.94,1.809922509,0.374622269,0.68293177,0.687855202,0.090147742,0.093972279,0.053058852,0.001549969,0.067929918,0.075497415,2.857714534,0.591496872,1.078291494,1.073161431,0.142335659,0.148374279,0.083775438,0.00244727,0.107255594,0.119204031
52,P.19.3,P,19,3,161930,143455,24892,44285,191,8361,8894,22773,22773,7140,8161,9.91,0.00991,0.58774,0.58835,0.00061,0.61,0.81208482,0.140911194,0.250693083,0.001081232,0.047330809,0.05034807,0.128915741,0.128915741,0.040418846,0.046198628,1.291270239,0.224058407,0.398619097,0.001686891,0.075259213,0.080056865,0.204984819,0.204984819,0.064268722,0.073458969
53,P.19.4,P,19,4,172801,22225,2355,7017,19754,36563,36546,10733,6820,7328,1705,9.92,0.00992,0.58579,0.58645,0.00066,0.66,0.11789857,0.012492739,0.037223589,0.104790477,0.193958398,0.193868217,0.056936124,0.036178549,0.038873373,0.009044637,0.187277787,0.019844283,0.059128379,0.163489493,0.308096185,0.307952936,0.090441057,0.057468369,0.061749004,0.014367092
54,P.19.5,P,19,5,210767,40924,5037,11597,17509,3898,56454,7958,8809,4199,2625,10.03,0.01003,0.598,0.59853,0.00053,0.53,0.177987081,0.021906972,0.050437791,0.076150323,0.016953222,0.245530316,0.034611015,0.038312193,0.018262334,0.011416677,0.279625614,0.034416827,0.079240012,0.118806384,0.026634265,0.385739039,0.054375443,0.060190158,0.028690938,0.017936107
55,P.2.2,P,2,2,9707221,970349,3699264,103203,672237,2848076,11938541,108143,248436,1252570,1973524,9.98,0.00998,0.5882,0.58871,0.00051,0.51,0.091631768,0.349328024,0.009745641,0.063480526,0.26894884,1.127377483,0.010212134,0.02346025,0.118282394,0.186363352,0.144678809,0.551559399,0.015387543,0.099039524,0.424647467,1.780033677,0.016124096,0.03704175,0.186757895,0.294251968
56,P.2.3,P,2,3,6427473,424687,1660626,41540,226696,1296214,6310423,45911,88736,556593,863067,10.08,0.01008,0.58916,0.5895,0.00034,0.34,0.06056779,0.236834295,0.00592433,0.032330812,0.184862774,0.899976624,0.006547711,0.012655305,0.079379891,0.12308844,0.094682692,0.370231582,0.009261218,0.050441111,0.28898702,1.406889864,0.01023572,0.019783425,0.124090738,0.192418197
57,P.2.4,P,2,4,19259002,531611,2439050,86374,85927,2169567,11767678,78295,50352,1232768,2277078,10.08,0.01008,0.58999,0.59029,3.00E-04,0.3,0.025303069,0.116091372,0.00411114,0.004089864,0.1032648,0.560105731,0.003726604,0.002396602,0.058676013,0.108381997,0.039555062,0.181480019,0.006426746,0.006380826,0.161428859,0.875586159,0.00582562,0.003746492,0.091725368,0.169428326
58,P.2.5,P,2,5,5833628,33962,202938,4618,8233,174721,1715846,9327,6069,137682,403831,9.95,0.00995,0.57528,0.57575,0.00047,0.47,0.005336636,0.031888762,0.000725652,0.001293696,0.02745487,0.269620304,0.001465603,0.000953655,0.021634729,0.063456182,0.008451501,0.050501466,0.001149197,0.002018368,0.043479618,0.426991192,0.00232104,0.001510281,0.0342624,0.10049403
59,P.2.6,P,2,6,7391300,5075,19598,1802,1802,20145,401197,785,2176,31458,227571,10.03,0.01003,0.59586,0.59659,0.00073,0.73,0.000629402,0.002430547,0.000223484,0.000223484,0.002498386,0.049756505,9.74E-05,0.000269868,0.003901425,0.028223385,0.000988819,0.003818497,0.000351104,0.00034867,0.003925075,0.07816968,0.00015295,0.000423974,0.006129313,0.044340193
60,P.22.1,P,22,1,238891,101008,14546,23790,23566,433260,437054,14070,473,67956,66593,10.02,0.01002,0.58885,0.58962,0.00077,0.77,0.387586821,0.055815756,0.091286735,0.090427204,1.662500656,1.677058952,0.053989254,0.001814991,0.260760039,0.25552995,0.609523822,0.087776548,0.143558646,0.141080546,2.614469065,2.637363622,0.084904168,0.002854277,0.410074458,0.401849556
61,P.22.2,P,22,2,144007,98827,16755,31070,85338,548729,11062,20423,41211,43,80531,10.02,0.01002,0.58959,0.59031,0.00072,0.72,0.629078768,0.106653189,0.19777467,0.543215152,3.492909459,0.070414657,0.130001676,0.262326744,0.000273715,0.512616413,0.98929704,0.167724123,0.311022889,0.847500388,5.492992556,0.11073496,0.204442242,0.412538277,0.000430447,0.806146902
62,P.22.3,P,22,3,128738,104214,9935,19628,19628,504861,8078,9037,64,64671,70789,10.01,0.01001,0.58463,0.58558,0.00095,0.95,0.742048559,0.070741478,0.139759813,0.139759813,3.594827734,0.057518839,0.064347332,0.000455708,0.46048537,0.504048165,1.168120518,0.11136006,0.220007576,0.218047112,5.658918118,0.090545201,0.101294501,0.000717367,0.724888422,0.79346425
63,P.22.4,P,22,4,156284,38623,1627,3585,41505,231549,219323,432,3976,34900,38984,9.94,0.00994,0.58937,0.59023,0.00086,0.86,0.226539796,0.009543025,0.021027501,0.243443912,1.358130211,1.286419687,0.002533858,0.023320877,0.204702868,0.228657209,0.359126558,0.015128263,0.033334249,0.379810484,2.15300198,2.039321497,0.004016847,0.036969868,0.32450915,0.362483229
64,P.22.5,P,22,5,156244,24553,1410,2317,2317,141479,136463,12189,5058,24143,24028,9.97,0.00997,0.58648,0.58723,0.00075,0.75,0.144050322,0.008272348,0.013593638,0.013593638,0.830045025,0.800616588,0.071511806,0.029674847,0.141644888,0.140970193,0.2276714,0.013074438,0.021484732,0.021208196,1.311885393,1.265373775,0.113024343,0.046901069,0.223869613,0.222803259
65,P.22.6,P,22,6,194664,NA,781,9579,14082,13558,11764,3134,11478,9679,11543,10.03,0.01003,0.58923,0.59023,0.001,1,NA,0.003677718,0.045107374,0.066311937,0.063844429,0.055396508,0.014757961,0.054049738,0.045578273,0.054355822,#VALUE!,0.005777858,0.07086569,0.103456968,0.100302435,0.087030376,0.023185413,0.084914541,0.071605492,0.085395413
66,P.23.1,P,23,1,145660,46261,14184,10458,12329,295732,281197,12690,11168,51232,48845,10.05,0.01005,0.58224,0.58287,0.00063,0.63,0.291130515,0.089262991,0.065814464,0.077589073,1.861105674,1.769633763,0.079860925,0.070282648,0.322414097,0.307392188,0.456468771,0.139957049,0.103191682,0.12105106,2.918061059,2.774640606,0.12521538,0.110197428,0.505518862,0.481965741
67,P.23.2,P,23,2,139384,45152,9454,12410,149,395349,396607,9257,5292,1392,79037,9.94,0.00994,0.59513,0.59616,0.00103,1.03,0.296945732,0.062174986,0.081615355,0.00097991,2.600044251,2.608317588,0.060879399,0.03480326,0.009154599,0.519793138,0.47073892,0.098564089,0.129382308,0.001528813,4.121770046,4.134885512,0.096510236,0.055172536,0.014512504,0.824012048
68,P.23.3,P,23,3,136694,4204,11037,15810,17381,321006,17542,7795,5633,1214,58469,10.05,0.01005,0.59092,0.5917,0.00078,0.78,0.028192025,0.074014125,0.106021864,0.116556991,2.152666321,0.117636657,0.052273272,0.037774899,0.008141084,0.392093129,0.044202783,0.116048078,0.166233588,0.18184709,3.375204241,0.18444463,0.081960203,0.059227944,0.012764553,0.61476987
69,P.23.4,P,23,4,137169,8129,6274,1938,1950,2443,63789,2292,2428,16147,17885,10,0.01,0.58504,0.58597,0.00093,0.93,0.054324304,0.04192775,0.012951224,0.013031417,0.016326027,0.426287737,0.015316928,0.016225785,0.107906819,0.119521488,0.085601933,0.06606797,0.02040799,0.020331044,0.025725861,0.671726131,0.024135765,0.025567904,0.170034988,0.18833689
70,P.23.5,P,23,5,175786,4078,223,4327,4369,520,29052,9831,8807,1451,23462,10.03,0.01003,0.57814,0.57925,0.00111,1.11,0.021265518,0.001162877,0.022563976,0.022782993,0.00271164,0.151497257,0.051265646,0.0459258,0.007566519,0.122347124,0.033409073,0.001826931,0.035449009,0.035545024,0.004260107,0.238008924,0.080540608,0.072151473,0.011887338,0.192212769
71,P.24.1,P,24,1,132588,200553,44356,80826,80953,8513,11993,19098,14051,6935,7738,9.97,0.00997,0.58238,0.58307,0.00069,0.69,1.386557747,0.306662854,0.558804488,0.559682524,0.058856093,0.082915673,0.132037316,0.097144011,0.047946318,0.053497997,2.191453233,0.484680357,0.883189975,0.873192057,0.093022001,0.131048145,0.208684856,0.15353602,0.075779112,0.084553535
72,P.24.2,P,24,2,133479,131236,22577,40635,40529,7119,7477,13592,11952,5968,6680,10.04,0.01004,0.59505,0.59569,0.00064,0.64,0.901266148,0.155048049,0.279061766,0.278333809,0.048889891,0.051348464,0.093343362,0.082080626,0.040985373,0.045875049,1.414518884,0.243344759,0.437981765,0.434244166,0.076731689,0.080590369,0.146500508,0.128823872,0.064325709,0.071999955
73,P.24.3,P,24,3,78115,62219,9293,18149,43280,77721,3320,13541,8598,11296,2980,10.05,0.01005,0.5882,0.58874,0.00054,0.54,0.730132378,0.109052222,0.212976302,0.507885523,0.912046458,0.038959795,0.158901984,0.100896482,0.132557183,0.034969937,1.144787688,0.17098494,0.333929374,0.792380653,1.430014045,0.061085764,0.249145278,0.158197408,0.207838791,0.054829993
74,P.24.4,P,24,4,105638,111634,17103,672,89919,7375,9779,582,553,5258,6267,9.99,0.00999,0.59787,0.59859,0.00072,0.72,0.968700077,0.148410676,0.005831256,0.780268935,0.063996301,0.084856926,0.005050284,0.004798638,0.045626109,0.05438167,1.52796445,0.234093341,0.009197844,1.217341272,0.1009436,0.133847792,0.00796599,0.007569059,0.071967654,0.085778107
75,P.24.5,P,24,5,144929,30429,4428,10310,25212,40774,39779,8756,5405,7932,111,10.01,0.01001,0.58977,0.5903,0.00053,0.53,0.192462181,0.028006919,0.065210329,0.159464869,0.257893883,0.251600549,0.055381342,0.034186404,0.050169576,0.00070207,0.302970769,0.044088027,0.102653016,0.248790075,0.405972268,0.396065405,0.087180389,0.053815669,0.078976113,0.001105188
76,P.24.6,P,24,6,113200,17091,3101,8683,10342,28720,25803,3577,3577,6209,115,10.02,0.01002,0.59536,0.59602,0.00066,0.66,0.138399355,0.025111252,0.070313124,0.08374736,0.232568572,0.208947315,0.0289658,0.0289658,0.050279188,0.000931246,0.217648535,0.039490264,0.110575287,0.130658947,0.365740209,0.328593128,0.045551975,0.045551975,0.079069671,0.001464489
77,P.3.1,P,3,1,6532633,368707,755568,48963,488827,1713042,5235771,75806,326622,1036943,1007848,10.08,0.01008,0.5851,0.5855,4.00E-04,0.4,0.051737584,0.106022567,0.00687057,0.068593023,0.240376922,0.734692153,0.010637225,0.045832146,0.145505578,0.141422919,0.080878858,0.165739943,0.01074043,0.107015818,0.375769598,1.148508656,0.016628658,0.071647174,0.227461822,0.221079599
78,P.3.2,P,3,2,6778051,586704,1100210,85417,654982,2789930,7446498,112556,442618,1769667,1485766,10.04,0.01004,0.59547,0.59588,0.00041,0.41,0.079346401,0.148793436,0.011551876,0.088580382,0.37731276,1.007071402,0.015222179,0.059860075,0.239331432,0.200936393,0.124532563,0.233528272,0.018130434,0.138199217,0.592184702,1.580578078,0.023890901,0.09394917,0.375625813,0.315365581
79,P.3.3,P,3,3,12265386,776657,1458750,95723,675000,3890522,10396984,201509,523981,2654889,2309896,10.1,0.0101,0.59112,0.5919,0.00078,0.78,0.058044498,0.109021629,0.007153986,0.050447026,0.290763356,0.777032482,0.015060044,0.03916042,0.198416674,0.172633162,0.090558473,0.17009075,0.011161335,0.078705232,0.4536362,1.212291901,0.023496019,0.061096364,0.309560968,0.269334666
80,P.3.4,P,3,4,5491333,115554,245003,9799,25855,648347,2273483,18129,26656,498884,489658,10,0.01,0.59199,0.59242,0.00043,0.43,0.019289467,0.04089843,0.00163575,0.004315984,0.108228775,0.379513255,0.00302628,0.004449695,0.083278868,0.081738769,0.030395523,0.064446011,0.002577546,0.006733608,0.170542312,0.598020887,0.004768683,0.00701164,0.131227307,0.128800484
81,P.3.5,P,3,5,9375169,44069,147080,4314,17281,232991,1534301,10897,12302,232107,468697,10.07,0.01007,0.58414,0.58471,0.00057,0.57,0.004308907,0.014380949,0.000421807,0.001689673,0.022781014,0.150018383,0.001065469,0.001202845,0.02269458,0.045827492,0.006742595,0.022503365,0.000660046,0.002636154,0.035647821,0.234749359,0.00166725,0.001882216,0.035512569,0.07171104
82,P.3.6,P,3,6,7603035,8305,18467,652,4806,26986,265119,2989,4202,31298,151821,9.95,0.00995,0.59085,0.59152,0.00067,0.67,0.001001303,0.002226498,7.86E-05,0.000579442,0.003253603,0.031964424,0.000360373,0.00050662,0.003773485,0.0183045,0.00158574,0.003526052,0.000124492,0.00090402,0.005152653,0.05062129,0.000570714,0.000802321,0.005975977,0.028988397
83,P.4.1,P,4,1,4600663,86912,95569,22174,59124,871890,1190406,57781,37319,749034,164030,10.01,0.01001,0.58632,0.58658,0.00026,0.26,0.017316987,0.019041872,0.004418111,0.011780301,0.173721789,0.237185264,0.011512712,0.007435713,0.149243054,0.032682546,0.027260114,0.029975398,0.006954917,0.018379108,0.273469955,0.373373103,0.01812312,0.011705175,0.234935937,0.051448321
84,P.4.2,P,4,2,6045237,106714,141336,21147,30172,1012180,1560555,60037,21614,1039040,248465,9.97,0.00997,0.59266,0.59297,0.00031,0.31,0.016181586,0.021431496,0.003206627,0.004575134,0.153481996,0.236634883,0.009103715,0.003277441,0.157554914,0.03767601,0.025574982,0.033872459,0.005068071,0.007137922,0.242578152,0.374001214,0.014388414,0.005179992,0.249015396,0.059546899
85,P.4.3,P,4,3,5834799,159342,186910,30704,62315,1431313,1882144,75559,38961,1399172,286454,9.95,0.00995,0.57877,0.57903,0.00026,0.26,0.025033258,0.0293643,0.00482372,0.009789933,0.224864933,0.295692266,0.011870618,0.006120927,0.219815455,0.045003056,0.039644569,0.046503536,0.007639209,0.015273823,0.356113188,0.468280733,0.018799212,0.009693565,0.348116451,0.071270258
86,P.4.4,P,4,4,5438005,56762,65310,6478,9677,598554,873598,19078,5797,610628,136585,10.06,0.01006,0.58997,0.59019,0.00022,0.22,0.009568219,0.011009133,0.001091979,0.001631226,0.100896651,0.147260085,0.003215928,0.000977185,0.102931933,0.023023769,0.01498727,0.017244258,0.001710432,0.002544967,0.15804042,0.230662221,0.005037298,0.001530623,0.161228403,0.036063498
87,P.4.6,P,4,6,7428434,19779,57761,5345,10162,162218,803728,15615,6791,277947,195346,9.94,0.00994,0.58372,0.58425,0.00053,0.53,0.002440732,0.007127717,0.000659574,0.001253993,0.020017728,0.09918017,0.001926894,0.000838011,0.034298706,0.024105729,0.003869217,0.01129935,0.001045602,0.001956424,0.031733488,0.157227268,0.003054645,0.001328472,0.054372682,0.03821407
88,P.5.1,P,5,1,5333539,928092,2405913,179494,853107,1078472,2936581,86710,138989,129032,79031,10.1,0.0101,0.5913,0.59166,0.00036,0.36,0.159510241,0.413501855,0.030849454,0.146622645,0.185355901,0.504707232,0.014902761,0.0238879,0.0221766,0.013582979,0.248860863,0.645127406,0.048129961,0.228754201,0.289184124,0.787422024,0.023250632,0.037268851,0.034598957,0.021191566
