no,sample,tissue,plant,stage,BR,A,B,C,D,E,F,G,H,I,J,pulp_wt_mg,pulp_wt_g,insert_wt,insert_extract,extract_wt_g,extract_wt_mg,A_corr,B_corr,C_corr,D_corr,E_corr,F_corr,G_corr,H_corr,I_corr,J_corr,A_pdw,B_pdw,C_pdw,D_pdw,E_pdw,F_pdw,G_pdw,H_pdw,I_pdw,J_pdw
104,P.8.1,P,8,1,18850586,1227609,4852918,120357,1192144,3578883,15001340,123888,424856,1600845,2757483,10.08,0.01008,0.58684,0.5873,0.00046,0.46,0.059696412,0.23598865,0.005852744,0.057971813,0.174034626,0.729488109,0.00602445,0.020659981,0.077846205,0.134091425,0.093320509,0.368909626,0.009149311,0.090445072,0.272059901,1.140373427,0.009417731,0.032296748,0.121693202,0.20961863
105,P.8.2,P,8,2,7668403,442314,1878628,42550,328809,1375988,7087960,43491,131550,611347,1044560,9.94,0.00994,0.58549,0.58588,0.00039,0.39,0.052873587,0.224568522,0.005086367,0.039305361,0.164483651,0.847284668,0.005198852,0.0157253,0.073079552,0.124865218,0.083818869,0.356001559,0.00806326,0.061322495,0.260750864,1.343174281,0.00824158,0.024928834,0.115850762,0.197944984
106,P.8.3,P,8,3,10452577,531710,2258594,44236,278623,1666666,8417682,47767,119928,750046,1227685,9.9,0.0099,0.59221,0.59272,0.00051,0.51,0.046629899,0.198074155,0.003879408,0.024434677,0.146163259,0.738213797,0.00418907,0.010517445,0.065777527,0.107665508,0.074219612,0.315269547,0.006174755,0.038121909,0.232644306,1.174995943,0.006667635,0.016740347,0.104696401,0.171368424
107,P.8.4,P,8,4,5628424,299118,1379694,27009,170568,1065565,5879072,30603,78106,491703,828009,9.94,0.00994,0.57724,0.57773,0.00049,0.49,0.048715679,0.224703061,0.004398805,0.027779458,0.173542624,0.957491641,0.00498414,0.012720688,0.080080923,0.134853204,0.077227465,0.356214839,0.00697329,0.043340289,0.275111775,1.517881999,0.007901203,0.020165715,0.12694982,0.21377863
108,P.8.5,P,8,5,6290019,34318,173020,2468,8646,221845,1385604,6995,5537,165843,280830,10,0.01,0.58981,0.59018,0.00037,0.37,0.005001301,0.025214907,0.000359672,0.001260017,0.032330372,0.201929695,0.00101941,0.000806929,0.024168974,0.040926496,0.007880839,0.039732581,0.000566755,0.001965823,0.050944829,0.318192247,0.001606343,0.001271525,0.038084443,0.064490236
109,P.9.1,P,9,1,10855379,525337,1938206,57177,362011,1574115,7308457,55629,148539,706561,1156976,10.01,0.01001,0.59032,0.59073,0.00041,0.41,0.044361479,0.163669577,0.004828246,0.030569603,0.132924332,0.617154249,0.004697527,0.012543205,0.059664731,0.097699508,0.069833104,0.257645931,0.007600545,0.04769335,0.209247275,0.97151397,0.007394769,0.019745305,0.093923229,0.153796943
110,P.9.2,P,9,2,6283801,586958,2409743,60962,674821,1786835,8984504,56316,244584,758391,1295066,9.99,0.00999,0.58404,0.5845,0.00046,0.46,0.085624416,0.351529133,0.008893031,0.098441718,0.260660393,1.310643873,0.00821528,0.03567949,0.110632765,0.188921984,0.13505838,0.554479173,0.014027288,0.153584439,0.411148738,2.067324337,0.012958249,0.056278505,0.174504922,0.29799324
111,P.9.4,P,9,4,5600340,24758,98047,2089,6184,129998,750983,4249,3130,100002,172722,10.08,0.01008,0.59271,0.593,0.00029,0.29,0.004052418,0.016048444,0.00034193,0.001012204,0.02127822,0.122921749,0.000695481,0.000512322,0.016368441,0.028271333,0.006334948,0.025087755,0.000534522,0.001579196,0.033263211,0.192157616,0.001087212,0.000800888,0.025587991,0.044195205
112,S.1.1,S,1,1,5103619,6942,20160,1608,5767,7205,19232,653,679,1043,NA,10.1,0.0101,0.5856,0.5856,0,0,0.001246865,0.003620973,0.000288816,0.001035821,0.001294103,0.003454293,0.000117286,0.000121956,0.000187335,NA,NA,0.005649283,NA,NA,NA,0.005389237,NA,NA,NA,NA
113,S.4.1,S,4,1,11305274,22593,27408,4205,13555,87283,127958,4920,4578,54292,15014,9.92,0.00992,0.59763,0.59776,0.00013,0.13,0.001831917,0.002222334,0.000340956,0.001099085,0.007077202,0.010375269,0.00039893,0.0003712,0.00440218,0.001217386,NA,0.0035301,NA,NA,NA,0.016480755,NA,NA,NA,NA
114,S.2.1,S,2,1,174379,278,771,969,151,552,2377,2844,2844,130,231,10.04,0.01004,NA,NA,NA,NA,0.001461382,0.004052968,0.005093808,0.000793772,0.002901736,0.012495338,0.014950249,0.014950249,0.00068338,0.001214313,NA,0.000636105,NA,NA,NA,0.001961118,NA,NA,NA,NA
115,S.3.1,S,3,1,191154,276,666,852,310,1468,4262,5043,284,135,926,10.06,0.01006,NA,NA,NA,NA,0.001323545,0.003193772,0.004085726,0.00148659,0.007039725,0.02043822,0.024183469,0.001361909,0.000647386,0.004440589,NA,0.000500259,NA,NA,NA,0.00320136,NA,NA,NA,NA
116,S.5.1,S,5,1,234587,1260,3181,3468,1418,1159,3040,3191,3191,,,9.96,0.00996,NA,NA,NA,NA,0.004923564,0.012430046,0.013551525,0.005540964,0.004528898,0.011879076,0.012469122,0.012469122,0,0,NA,0.00196654,NA,NA,NA,0.001879372,NA,NA,NA,NA
117,S.8.1,S,8,1,338,869,1055,1055,607,2873,381,381,143,141,,10.06,0.01006,NA,NA,NA,NA,2.356763994,2.861203698,2.861203698,1.646209142,7.791695,1.033287781,1.033287781,0.387821923,0.38239784,0,NA,0.448167336,NA,NA,NA,0.161850005,NA,NA,NA,NA
