tissue,N,mean,sd,se
Flowers (4),21,0.0153309664085714,0.0131157003653368,0.00286208046269123
Mature leaves,4,7.33545825e-05,2.89095314847593e-05,1.44547657423797e-05
Ripe pulp (1),20,0.0270737684425,0.0187815803655381,0.00419968904222185
Seeds,6,0.00108535245,0.00245763822280138,0.00100332660303731
Unripe pulp (2),21,0.0392386728504762,0.0233957009245579,0.00510536049634928
