stage.num,N,mean,sd,se
1,20,0.0270737684425,0.0187815803655381,0.00419968904222185
2,21,0.0392386728504762,0.0233957009245579,0.00510536049634928
3,19,0.0308254592794737,0.0197182493066504,0.00452367663532789
4,21,0.0153309664085714,0.0131157003653368,0.00286208046269123
5,15,0.00907864735133333,0.00887648169735642,0.00229189771911843
6,11,0.00512966021363636,0.00497987800823675,0.0015014897140967
